study_version,threshold_policy,window_days,entries_per_day,positive_group,n_positive,n_negative,threshold,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,false_positive_rate,f1_ci_low,f1_ci_high,recall_ci_low,recall_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,auroc,auroc_ci_low,auroc_ci_high,auroc_deviation_only,auroc_rules_only,auroc_temporal_shift_only,mean_temporal_shift_positive,mean_temporal_shift_negative,not_enough_data_rate,baseline_mean_error_in_sd,baseline_mean_error_ci_low,baseline_mean_error_ci_high,baseline_std_relative_error,oracle_f1_in_hindsight,oracle_threshold_in_hindsight
data-sufficiency-1,fpr_controlled,14,1,shift_moderate,120,120,4.5285,45,11,75,109,0.8035714285714286,0.375,0.5113636363636364,0.09166666666666666,0.413783,0.602041,0.293524,0.46423,0.051957,0.156708,0.7364583333333333,0.671218,0.798016,0.7670486111111111,0.6996875,0.5771875,2.42,2.2020833333333334,0.0,0.21937464583333335,0.211398,0.227752,0.22672015416666666,0.714801,2.647
data-sufficiency-1,fpr_controlled,14,1,shift_large,120,120,4.5285,94,11,26,109,0.8952380952380953,0.7833333333333333,0.8355555555555555,0.09166666666666666,0.779808,0.881076,0.701456,0.847633,0.051957,0.156708,0.9105555555555556,0.86686,0.947067,0.9217361111111111,0.9146527777777778,0.6240277777777777,2.5324999999999998,2.2020833333333334,0.0,0.22062359583333332,0.212637,0.228531,0.2272880333333333,0.874494,3.69
data-sufficiency-1,fpr_controlled,14,1,all_shift,240,120,4.5285,139,11,101,109,0.9266666666666666,0.5791666666666667,0.7128205128205128,0.09166666666666666,0.659459,0.760647,0.515941,0.639898,0.051957,0.156708,0.8235069444444445,0.777219,0.865594,0.8443923611111112,0.8071701388888889,0.6006076388888889,2.47625,2.2020833333333334,0.0,0.2188453833333333,0.212748,0.225393,0.22687772500000003,0.831721,2.5675
data-sufficiency-1,fpr_controlled,14,3,shift_moderate,120,120,4.5285,80,10,40,110,0.8888888888888888,0.6666666666666666,0.761904761904762,0.08333333333333333,0.692727,0.821437,0.578311,0.744683,0.045894,0.146622,0.8507986111111111,0.799392,0.896087,0.8800694444444445,0.8411111111111111,0.5202083333333334,2.3879166666666665,2.32,0.0,0.21186360833333331,0.204108,0.219797,0.17662877916666667,0.782222,4.0465
data-sufficiency-1,fpr_controlled,14,3,shift_large,120,120,4.5285,117,10,3,110,0.9212598425196851,0.975,0.9473684210526315,0.08333333333333333,0.917749,0.97417,0.92907,0.991462,0.045894,0.146622,0.9941666666666666,0.987113,0.99875,0.9926388888888888,0.9805208333333333,0.5663888888888889,2.5262499999999997,2.32,0.0,0.21344081666666667,0.204822,0.22168,0.17434589166666664,0.966387,5.139
data-sufficiency-1,fpr_controlled,14,3,all_shift,240,120,4.5285,197,10,43,110,0.9516908212560387,0.8208333333333333,0.8814317673378076,0.08333333333333333,0.846325,0.911447,0.76738,0.864177,0.045894,0.146622,0.9224826388888889,0.89535,0.947994,0.9363541666666667,0.9108159722222222,0.5432986111111111,2.457083333333333,2.32,0.0,0.2140232111111111,0.207757,0.220454,0.17761032222222223,0.892241,4.0465
data-sufficiency-1,fpr_controlled,14,5,shift_moderate,120,120,4.5285,99,8,21,112,0.9252336448598131,0.825,0.8722466960352423,0.06666666666666667,0.818956,0.915984,0.747243,0.882595,0.034165,0.126051,0.9418402777777778,0.910671,0.968302,0.9554166666666667,0.9113194444444445,0.5939583333333334,2.4270833333333335,2.1458333333333335,0.0,0.21302753333333335,0.205693,0.22082,0.16689423333333334,0.885246,3.916
data-sufficiency-1,fpr_controlled,14,5,shift_large,120,120,4.5285,120,8,0,112,0.9375,1.0,0.967741935483871,0.06666666666666667,0.94308,0.987954,0.968981,1.0,0.034165,0.126051,0.9996527777777777,0.998611,1.0,0.9996527777777777,0.9851736111111111,0.6865277777777777,2.6479166666666667,2.1458333333333335,0.0,0.20710950416666668,0.199381,0.215492,0.16402809999999998,0.991736,5.3795
data-sufficiency-1,fpr_controlled,14,5,all_shift,240,120,4.5285,219,8,21,112,0.9647577092511013,0.9125,0.9379014989293362,0.06666666666666667,0.914286,0.958965,0.869945,0.942058,0.034165,0.126051,0.9707465277777778,0.954383,0.984874,0.9775347222222223,0.9482465277777777,0.6402430555555556,2.5375,2.1458333333333335,0.0,0.2104791666666667,0.204218,0.216689,0.16627454166666666,0.942149,3.916
data-sufficiency-1,fpr_controlled,21,1,shift_moderate,120,120,4.5285,41,11,79,109,0.7884615384615384,0.3416666666666667,0.4767441860465116,0.09166666666666666,0.380922,0.566667,0.262904,0.430252,0.051957,0.156708,0.7354513888888888,0.67447,0.797237,0.7696527777777777,0.7028819444444444,0.5771875,2.42,2.2020833333333334,0.0,0.17431906666666663,0.167538,0.181125,0.17820642916666665,0.721429,2.5675
